Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Azerbaijan,AZE,3.33736991882324,3.51256990432739,,3.38001990318298,4.21214008331299,3.85399007797241,3.50342011451721,3.15445995330811,3.2861499786377,3.44770002365112,2.97462010383606,2.55552005767822,2.5492799282074,2.44092988967896,3.22430992126465,2.78062009811401,2.43564009666443,2.06763005256653,2.44213008880615,2.63303995132446,2.95167994499207,2.90340995788574,2.47381997108459,2.45543003082275,2.68108010292053,,
Burundi,BDI,5.01511001586914,4.08324003219604,,,3.41744995117188,2.64547991752625,2.90390992164612,3.00493001937866,,3.74496006965637,3.632159948349,,,5.19290018081665,6.17194986343384,6.77524995803833,6.31925010681152,6.16786003112793,5.99535989761353,6.78452014923096,6.37054014205933,4.69199991226196,4.76202011108398,5.07864999771118,5.34668445587158,5.0409836769104,
Belgium,BEL,2.98866009712219,3.04947996139526,,,,,,,,,5.79585981369019,,,6.33294010162354,6.45809984207153,6.44259023666382,6.43199014663696,,6.63052988052368,6.59046983718872,6.4515700340271,6.46173000335693,6.42534017562866,6.38137006759644,,,
Benin,BEN,,,,2.74788999557495,1.92193996906281,2.11366009712219,2.36509990692139,2.15949010848999,2.28315997123718,2.56690001487732,2.6566801071167,2.56340003013611,2.36331009864807,2.77728009223938,3.08927011489868,3.67997002601624,4.39788007736206,3.56202006340027,3.3275101184845,3.161789894104,3.17298007011414,2.89910006523132,3.53558993339539,2.93161988258362,2.96519994735718,3.003662109375,
Burkina Faso,BFA,,1.44026005268097,,,,,,,,,3.94113993644714,3.98218989372253,4.07983016967773,,,3.50222992897034,3.98515009880066,3.60315990447998,4.08343982696533,4.05329990386963,3.67008996009827,,5.62846994400024,5.488609790802,5.69684505462646,5.51907587051392,
Bangladesh,BGD,,,1.95246994495392,,2.13281989097595,2.12508010864258,2.17193007469177,2.01714992523193,2.06939005851746,1.94014000892639,,2.13128995895386,2.20221996307373,2.0545699596405,1.9394199848175,,2.13269996643066,2.17549991607666,1.96616005897522,,,1.53553998470306,,,1.32632005214691,,
Bulgaria,BGR,2.37207007408142,2.23007988929749,,2.73942995071411,,,3.38423991203308,3.38608002662659,3.99845004081726,2.31995010375977,4.10879993438721,3.90346002578735,3.68264007568359,4.2223801612854,4.27429008483887,3.85796999931335,3.5469799041748,3.47637009620667,4.05822992324829,,,,4.07527017593384,,,,
Bahrain,BHR,,,,,,,,,,,3.32999992370605,2.87440991401672,2.57500004768372,2.49677991867065,3.33999991416931,3.19000005722046,3.02999997138977,2.64530992507935,2.47689008712769,2.46745991706848,2.6745400428772,2.86999988555908,2.32452011108398,2.36660718917847,2.09491229057312,2.15205335617065,
"Bahamas, The",BHS,,,,,,2.23284006118774,,,,,2.28999996185303,,2.73000001907349,2.89000010490417,2.92000007629395,2.77999997138977,2.66000008583069,2.60999989509583,2.72000002861023,2.5,2.24990105628967,2.33118152618408,2.42276906967163,2.24967384338379,2.28841733932495,2.3713436126709,2.78222227096558
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,,,,,6.00001001358032,6.19661998748779,,,,5.7122597694397,5.8710298538208,6.07696008682251,5.15210008621216,,4.3689398765564,5.22003984451294,4.68479013442993,4.95964002609253,5.0094199180603,4.81830978393555,4.78751993179321,4.94654989242554,4.79499006271362,5.38111019134521,4.97947978973389,4.95244979858398,
Belize,BLZ,,,,,5.44226980209351,5.02842998504639,5.79692983627319,,5.24820995330811,5.3358998298645,,,,5.77263021469116,6.1781702041626,6.71975994110107,,,6.42537021636963,6.61468982696533,6.87015008926392,7.29365015029907,7.45028018951416,7.47227001190186,7.1383900642395,7.52877759933472,8.7070140838623
Bermuda,BMU,,,,2.15227007865906,,,,,1.6662700176239,1.77587997913361,1.98877000808716,,,,2.28920006752014,2.30668997764587,,,,1.5368800163269,1.50163996219635,,1.32495999336243,,,,
Bolivia,BOL,,,,,,,,,,,,,,,,7.80999994277954,7.07000017166138,7.90000009536743,7.57999992370605,8.26000022888184,8.9399995803833,8.85000038146973,8.65999984741211,8.89999961853027,,,
Brazil,BRA,4.56816005706787,,,4.75665998458862,3.80062007904053,3.94893002510071,3.84468007087708,3.75037002563477,,3.97447991371155,4.47908020019531,4.87060022354126,4.97425985336304,5.26883983612061,5.46355009078979,5.64879989624023,5.73741006851196,5.85510015487671,5.8388500213623,5.94848012924194,6.24105978012085,6.314040184021,6.32047986984253,6.08851003646851,,,
Barbados,BRB,,,,,4.34123992919922,4.71585988998413,6.05536985397339,5.88062000274658,6.24569988250732,6.02428007125854,5.66965007781982,,5.22038984298706,4.92259979248047,5.11617994308472,6.0543999671936,,5.26274013519287,5.14899015426636,6.14349985122681,5.38291883468628,4.70732021331787,4.36638021469116,5.42886018753052,3.20398998260498,3.05817008018494,6.4536247253418
Brunei Darussalam,BRN,,,,5.25395011901855,4.9320502281189,3.70590996742249,,,,,,,,,,2.04661011695862,3.32209992408752,2.88959002494812,,3.35318994522095,,4.42540979385376,,,,,
