Country Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Germany,60378049,60725922,60986289,61167004,61376500,61629857,61902439,62174878,62376854,62529997,62660267,62753557,62833410,62875807,62877220,62940432,61940177,62064608,62242278,62510392,63062064,63592936,63861626,64096118,64294010,64410589,64461773
Djibouti,480984,491407,504849,520141,535374,549176,561331,572341,582415,591940,601229,610273,619017,627773,636958,646941,657873,669663,682099,694826,707590,720326,733075,745822,758547,771254,783888
Dominica,46098,46048,45888,45684,45513,45457,45552,45877,46263,46666,47007,47312,47578,47811,48034,48263,48496,48735,48990,49252,49523,49829,50151,50484,50830,51178,51527
Denmark,4447268,4473929,4493986,4511769,4528106,4544013,4563004,4582981,4601394,4624434,4652908,4681382,4712839,4751268,4785983,4815111,4844002,4872608,4901386,4932961,4974525,5020143,5059173,5091100,5116342,5138400,5167981
Dominican Republic,4503725,4647676,4792113,4937446,5083816,5231292,5379713,5529103,5717747,5923402,6128825,6334156,6539067,6743610,6947156,7150440,7342937,7527833,7711913,7895297,8077901,8259547,8439610,8615853,8787474,8953860,9114914
Algeria,16103499,16615714,17115300,17606298,18103945,18600199,19094843,19591211,20095409,20615999,21159466,21729736,22327435,22955887,23612220,24299170,25016299,25763114,26536380,27332603,28146508,28977623,29821728,30670076,31510100,32332690,33132753
East Asia & Pacific (excluding high income),552523749,574176582,596264817,618678150,641226977,664184442,689253420,715857051,742785132,770097668,797792754,825180570,852442426,880067504,907973712,936203164,963984938,992535600,1021273608,1050038829,1078630140,1107325564,1136347604,1164037222,1190455445,1215509442,1238835509
Early-demographic dividend,825612239,849635674,873910956,898393323,923000035,947945201,972865741,998910383,1025147788,1051736417,1078801871,1106351773,1134354147,1162927072,1191923070,1221297922,1250743601,1280321223,1310270387,1340608331,1371521458,1402685624,1434129497,1466014129,1498425040,1531407567,1564984174
East Asia & Pacific,729410002,752839238,776355955,800178867,823921886,848148000,876209795,906126744,936055669,966147698,996426796,1026344222,1055909249,1086071137,1116140554,1146373658,1175208431,1204635829,1234156243,1263762181,1293210148,1322782671,1352575712,1381029583,1408194995,1433536071,1456197901
Europe & Central Asia (excluding high income),234587972,235147478,235698540,236269303,236736972,237229261,237714080,238306017,239157015,240148897,241199250,242337374,243705379,245398971,247294773,249368890,251496661,253630878,255943407,258284617,260707943,263109999,265417048,267570585,269641424,271401522,272770421
Europe & Central Asia,581826945,583679990,585470793,587253046,589076288,590882531,592968758,595789100,599185026,602821368,606525226,610258935,614329197,618715906,622979518,627123956,630254951,634368772,638937915,643586548,648297897,652989492,657383764,661623321,665477610,668914148,671406444
Ecuador,6617214,6820256,7025664,7232582,7439883,7646590,7851984,8033023,8197752,8363683,8532064,8703740,8878732,9055766,9233269,9410467,9580934,9746825,9915342,10091288,10278098,10477466,10687236,10903409,11116708,11320846,11513201
"Egypt, Arab Rep.",26687689,27145813,27681744,28270159,28862915,29457843,30055505,30659221,31267887,31879899,32495529,33111796,33700834,34289704,34919602,35603060,36347578,37114895,37919407,38737024,39551545,40359122,41185808,42030815,42895825,43781728,44687204
