Country Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
East Asia & Pacific (excluding high income),27128681547,30389214801,30941507587,28580953118,33801362944,37299148018,41890868874,48054186822,66543648275,77215525223,85588975622,62898124534,77066124479,95641542343,1.13516E+11,1.24474E+11,1.47162E+11,1.71441E+11,1.93307E+11,2.10844E+11,2.26317E+11,2.28336E+11,2.42137E+11,2.62706E+11,2.66248E+11,2.79983E+11,
Early-demographic dividend,71945774323,74764801175,85362107187,88353390854,90974280555,97813472488,98873784744,90497344762,1.09731E+11,1.26365E+11,1.43427E+11,1.21719E+11,1.42943E+11,1.62009E+11,1.70711E+11,1.91932E+11,2.08732E+11,2.256E+11,2.409E+11,2.52411E+11,2.5221E+11,2.36224E+11,2.59766E+11,2.61251E+11,2.58508E+11,2.57106E+11,
East Asia & Pacific,1.17416E+11,1.1648E+11,1.11694E+11,98956644128,1.1208E+11,1.18118E+11,1.1594E+11,1.22588E+11,1.48376E+11,1.66742E+11,1.804E+11,1.59101E+11,1.79222E+11,2.05146E+11,2.2715E+11,2.50045E+11,2.86929E+11,3.11796E+11,3.23324E+11,3.43284E+11,3.50595E+11,3.60109E+11,3.77719E+11,4.03203E+11,4.08824E+11,4.28861E+11,
Europe & Central Asia (excluding high income),21258496490,25632131554,29168678717,19556297177,19175778069,21368873436,21542151109,26199741845,31025010890,36223984640,44634929603,54382283417,68322226229,85067743084,76990152166,86057175786,98843597014,1.11498E+11,1.19935E+11,1.15412E+11,93552527200,96148244395,94569300394,94304275517,1.00954E+11,94452115678,
Europe & Central Asia,2.17482E+11,2.22835E+11,2.11541E+11,2.03614E+11,2.00779E+11,1.86657E+11,1.85746E+11,2.05782E+11,2.48629E+11,2.83182E+11,2.91291E+11,3.14825E+11,3.62766E+11,4.05059E+11,3.77308E+11,3.7472E+11,3.99647E+11,3.94708E+11,4.04192E+11,4.01985E+11,3.41928E+11,3.44542E+11,3.53285E+11,3.77704E+11,3.86019E+11,3.9799E+11,
Ecuador,475000000,419000000,499000000,549000000,296000000,266000000,384000000,505000000,739000000,710000000,954000000,950000000,1310000000,1646000000,1949000000,2094000000,2453700000,2589776000,2735825000,2786519000,2597510000,2513200000,2462700000,2549400000,2399900000,2243500000,
"Egypt, Arab Rep.",1948876986,2115742979,2267650314,2372048406,2447978794,2627698334,2834256230,2902768425,2383914898,2369743586,2659439714,2952520159,3306908257,3779880350,4017404478,4407286453,4463974191,4557748767,4359834244,5085121576,5475490833,4513022527,2765588434,3119587364,3743671452,4505374644,
Euro area,1.33519E+11,1.33998E+11,1.20006E+11,1.2011E+11,1.19354E+11,1.06451E+11,1.05062E+11,1.13229E+11,1.39605E+11,1.58649E+11,1.54991E+11,1.64875E+11,1.84423E+11,2.07418E+11,2.01262E+11,1.87998E+11,1.94352E+11,1.79817E+11,1.81189E+11,1.7974E+11,1.52761E+11,1.59649E+11,1.6842E+11,1.83431E+11,1.829E+11,1.94708E+11,
Eritrea,124996349.9,152271808.6,92756319.41,263001685.7,272856734.6,230670129.9,166550245.4,150764425.2,181583669,,,,,,,,,,,,,,,,,,
Spain,11439906271,11294316855,9865892241,10333417234,11113722490,10273779252,10222074075,10270839019,12880532801,15262458637,15997724220,17252217613,20065668635,22227721830,20178274985,19710785450,19695435494,18860623363,17242959322,17178549315,15187168681,14014439635,16043533257,17823271131,17189319301,17431779323,
