Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Fiji,5.877739906,5.643109798,6.275869846,,6.209159851,5.167059898,5.655320168,5.894720078,4.25357008,4.498479843,4.824359894,4.17305994,4.722650051,3.882889986,4.268219948,4.809319973,4.83589983,4.651189804,4.835710049,5.067880154,,
France,,,,,,,,,,,,,,,,,,5.451600075,5.407169819,,,
Gabon,3.827090025,,,,,,,,,,3.078089952,2.987459898,3.013400078,3.029710054,2.666670084,2.991663933,2.662058353,3.32681179,2.933458805,2.732324123,3.181609392,
United Kingdom,4.023149967,4.108550072,4.628540039,4.80573988,4.729400158,4.929180145,4.973259926,4.908830166,4.884970188,5.046319962,5.66824007,5.559599876,,5.500780106,5.564509869,5.514110088,5.375329971,5.384990215,5.167990208,,,
Georgia,2.181050062,2.137500048,2.235019922,2.065599918,2.914200068,2.484319925,3.00364995,2.696870089,2.919549942,3.222379923,2.803649902,2.576139927,1.906100035,2.886719942,2.997679949,3.164870024,3.593869925,3.574429989,3.52105999,3.808640003,3.850080013,
Ghana,,5.354440212,,,7.535580158,7.42208004,5.259829998,5.519869804,5.757959843,5.317440033,5.540599823,8.14097023,7.919139862,4.576469898,4.39978981,4.434050083,4.394529819,3.533629894,3.886130095,,,
Guinea,2.593400002,2.081909895,2.593869925,2.371020079,2.210000038,1.849060059,,,1.581120014,2.207250118,2.551189899,2.287420034,1.833709955,2.63421011,2.422810078,2.517139912,2.544500113,2.320339918,2.384320021,1.848369956,2.199470043,
Gambia,1.465870023,1.158100009,1.44291997,1.363379955,0.622470021,0.691879988,0.751630008,0.81686002,2.181299925,1.908139944,2.563220024,2.50116992,2.637569904,1.818390012,2.230940104,2.160029888,2.024430037,2.459194422,2.365439892,2.788928032,2.763717175,
Guinea-Bissau,,,,,,,,,,,1.860820055,1.857859969,2.001060009,2.13248992,2.200000048,2.299999952,2.299999952,2.200000048,2.137870073,2.947819948,2.708427668,
Greece,3.230190039,3.364579916,3.424309969,3.429339886,3.667190075,3.963959932,,,,,,,,,,3.661390066,,3.477089882,3.597340107,,,
Grenada,,,,3.926739931,,,,,,,,,,,,4.238609791,,3.173799992,3.552550077,,,
Guatemala,,,,,,,3.032850027,3.088089943,3.236860037,,2.848649979,2.968650103,3.005249977,2.888089895,2.985620022,3.030329943,2.944740057,2.950099945,3.137049913,3.199280024,3.299720049,
Guam,,,,,,,,,,,,,,,,,,,,,,
Guyana,8.484149933,8.397299767,8.365539551,6.955900192,5.51293993,8.139730453,3.118910074,2.391170025,,2.150579929,2.409389973,2.506690025,2.241319895,,4.360330105,3.895699978,4.737750053,4.66478014,4.45058012,,,
Hong Kong,,3.903700113,4.015540123,4.285299778,4.558959961,4.134630203,3.842789888,3.454550028,3.260629892,4.392129898,3.510030031,3.418220043,3.509609938,3.760319948,3.572550058,3.262120008,3.292649984,3.310100079,3.326519966,3.810600042,4.406340122,
Honduras,,,,,,,,,,,6.800000191,6.099999905,,5.874929905,7.090119839,6.412970066,5.159619808,4.937019825,6.056469917,4.912849903,6.438438892,
Croatia,,,3.783269882,3.831350088,3.785840034,,,3.940870047,4.252130032,4.358089924,4.19863987,4.096549988,,4.500390053,,,,3.854759932,3.907550097,,,
Haiti,,,,,,,,,,,,,,,1.753149986,1.857040048,1.395859957,1.504230022,1.632069945,,,
Hungary,4.868400097,4.931009769,5.179230213,5.791150093,5.326580048,5.318880081,5.288119793,5.133450031,4.966110229,4.944660187,4.721759796,4.561329842,4.141119957,4.187729836,4.600399971,4.494100094,4.6145401,4.614099979,4.622829914,,,
Indonesia,,2.460030079,2.645689964,3.217999935,2.748470068,2.872819901,,3.044250011,2.901900053,3.525130033,2.81227994,3.189440012,3.407480001,3.359040022,3.288009882,3.583600044,3.5,2.669980049,3,2.841850042,,
